city,attribute,r2_var,mae_var,rmse_var
Tangshan,ESV,0.7643669828045334,0.1971,0.2487
Tangshan,GCBA,0.7124454268331791,0.2192,0.2713
Tangshan,GDP,0.7871418449363682,0.15439999999999998,0.1898
Tangshan,GSA,0.7315380304075655,0.2024,0.24489999999999998
Tangshan,HETeach,0.7453690735369557,0.20370000000000002,0.2354
Tangshan,LFE,0.7577027518339602,0.18989999999999999,0.2191
Tangshan,PD,0.715139760226776,0.23920000000000002,0.30579999999999996
Tangshan,PIV,0.7938262594996527,0.15259999999999999,0.196
Tangshan,PRA,0.7726614502701691,0.18100000000000002,0.2309
Tangshan,Phys,0.7570491222581456,0.1515,0.17620000000000002
Tangshan,SIV,0.7862301441306718,0.1427,0.1734
Tangshan,TIV,0.9016316198401534,0.0789,0.09910000000000001
Tangshan,Teach,0.757376492225096,0.1507,0.18530000000000002
Tangshan,UR,0.7901488652916479,0.1394,0.1697
Tangshan,URate,0.758667384579344,0.1439,0.1934
Qinhuangdao,AW,0.7867785993446488,0.1301,0.1597
Qinhuangdao,Beds,0.8430495072783054,0.0907,0.1191
Qinhuangdao,Bus,0.8018022921486655,0.16820000000000002,0.2095
Qinhuangdao,DEU,0.7944246514926153,0.15410000000000001,0.2029
Qinhuangdao,DWU,0.7723766287115099,0.19210000000000002,0.22949999999999998
Qinhuangdao,ERV,0.9042680815231009,0.061200000000000004,0.071
Qinhuangdao,ESV,0.7915259094087543,0.1479,0.1818
Qinhuangdao,GCBA,0.7574665742492818,0.19260000000000002,0.2526
Qinhuangdao,GDP,0.7846934377467415,0.1332,0.168
Qinhuangdao,GSA,0.7670127512426785,0.18350000000000002,0.2286
Qinhuangdao,HETeach,0.7601523634640738,0.1773,0.2366
Qinhuangdao,LFE,0.7497349737886233,0.17420000000000002,0.21660000000000001
Qinhuangdao,PD,0.7457155222687017,0.1551,0.204
Qinhuangdao,PIV,0.8035276413362085,0.1324,0.1548
Qinhuangdao,PRA,0.7894578035964025,0.1649,0.2147
Qinhuangdao,Phys,0.759139732841237,0.19879999999999998,0.23550000000000001
Qinhuangdao,SIV,0.7865365924142077,0.1276,0.1563
Qinhuangdao,TIV,0.9313867279118266,0.0429,0.0564
Qinhuangdao,Teach,0.7794231069496987,0.1808,0.2212
Qinhuangdao,UR,0.7967337360974763,0.17190000000000003,0.1993
Qinhuangdao,URate,0.8180618548830201,0.1493,0.1794
Handan,AW,0.6394645903227879,0.30079999999999996,0.3892
Handan,Beds,0.7789131437129014,0.1378,0.1723
Handan,Bus,0.7153473095230029,0.1734,0.2133
Handan,DEU,0.7623416782873058,0.1748,0.23420000000000002
Handan,DWU,0.7118159436296894,0.16579999999999998,0.2125
Handan,ERV,0.8694645903227879,0.0724,0.08789999999999999
Handan,ESV,0.7176194543563201,0.2271,0.29719999999999996
Handan,GCBA,0.6780999145885035,0.1967,0.2575
Handan,GDP,0.7720623905723509,0.1497,0.18109999999999998
Handan,GSA,0.6893076727458509,0.2551,0.3251
Handan,HETeach,0.7308936794601951,0.21710000000000002,0.2858
Handan,LFE,0.6494645903227879,0.2763,0.3481
Handan,PD,0.6880042602515599,0.1978,0.2483
Handan,PIV,0.7596978912175221,0.1691,0.2232
Handan,PRA,0.7305332031535648,0.1603,0.2034
Handan,Phys,0.7247878729345131,0.20809999999999998,0.2754
Handan,SIV,0.7500434909671019,0.1845,0.2419
Handan,TIV,0.8708799391429056,0.0867,0.11220000000000001
Handan,Teach,0.7251480844646014,0.222,0.287
Handan,UR,0.7682398756704328,0.177,0.2151
Handan,URate,0.7613787645831634,0.1956,0.2541
Xingtai,AW,0.7327813745757891,0.19899999999999998,0.2447
Xingtai,Beds,0.7926450279665881,0.15259999999999999,0.19260000000000002
Xingtai,Bus,0.7574834134602022,0.1496,0.1787
Xingtai,DEU,0.7450525186243975,0.1894,0.23120000000000002
Xingtai,DWU,0.7155553294443464,0.1917,0.2488
Xingtai,ERV,0.8694645903227879,0.0742,0.0971
Xingtai,ESV,0.7314569117699412,0.1577,0.20190000000000002
Xingtai,GCBA,0.7074410738888051,0.2175,0.2897
Xingtai,GDP,0.7887397836642464,0.13369999999999999,0.1686
Xingtai,GSA,0.7203403098644853,0.2225,0.2607
Xingtai,HETeach,0.7201407159582055,0.1759,0.2357
Xingtai,LFE,0.7024195641133146,0.1892,0.23260000000000003
Xingtai,PD,0.7120659450300876,0.1966,0.2541
Xingtai,PIV,0.7778662164061583,0.1534,0.1801
Xingtai,PRA,0.7636029814865332,0.18,0.23010000000000003
Xingtai,Phys,0.7461310964413908,0.20559999999999998,0.2554
Xingtai,SIV,0.7383357928282107,0.2069,0.24109999999999998
Xingtai,TIV,0.8717473796338798,0.0755,0.0913
Xingtai,Teach,0.7286963727371318,0.20559999999999998,0.2568
Xingtai,UR,0.7483780512597873,0.19,0.2407
Xingtai,URate,0.7834339079473109,0.17629999999999998,0.2152
Baoding,AW,0.7281755675469723,0.18289999999999998,0.2118
Baoding,Beds,0.8102976506453319,0.1059,0.1356
Baoding,Bus,0.7363104015257568,0.174,0.2261
Baoding,DEU,0.7739725358712354,0.12710000000000002,0.14859999999999998
Baoding,DWU,0.747045962123859,0.2061,0.2438
Baoding,ERV,0.8694645903227879,0.10339999999999999,0.1294
Baoding,ESV,0.7629148297970113,0.1625,0.1998
Baoding,GCBA,0.728125062652857,0.20989999999999998,0.2803
Baoding,GDP,0.7682096426222478,0.1966,0.2468
Baoding,GSA,0.7042217318837457,0.18309999999999998,0.235
Baoding,HETeach,0.7370019236727116,0.2133,0.2551
Baoding,LFE,0.7464154165138462,0.1638,0.1886
Baoding,PD,0.7238748085380803,0.18989999999999999,0.243
Baoding,PIV,0.7825651732036238,0.17739999999999997,0.2158
Baoding,PRA,0.7633481199422146,0.1566,0.18969999999999998
Baoding,Phys,0.7470782790754836,0.2127,0.2669
Baoding,SIV,0.7766053483281194,0.1646,0.20629999999999998
